,name,selling_price,km_driven,fuel,seller_type,transmission,owner,age,company
3327,Hyundai i20 Asta Option 1.2,600000,25000,Petrol,Individual,Manual,First Owner,6,Hyundai
3328,Tata Xenon XT EX 4X4,150000,70000,Diesel,Individual,Manual,Second Owner,12,Tata
3329,Volkswagen Vento Petrol Highline,400000,60000,Petrol,Individual,Manual,First Owner,11,Volkswagen
3330,Maruti Alto 800 LXI,310000,30000,Petrol,Individual,Manual,Second Owner,7,Maruti
3331,Maruti Baleno Alpha 1.2,550000,30000,Petrol,Individual,Manual,First Owner,7,Maruti
3332,Hyundai i20 Asta Option 1.4 CRDi,550000,60000,Diesel,Individual,Manual,First Owner,6,Hyundai
3333,Hyundai Grand i10 CRDi Magna,320000,73000,Diesel,Individual,Manual,First Owner,9,Hyundai
3334,Maruti 800 AC BSII,50000,100000,Petrol,Individual,Manual,Fourth & Above Owner,30,Maruti
3335,Hyundai Grand i10 1.2 Kappa Asta,500000,32000,Petrol,Individual,Manual,First Owner,4,Hyundai
3336,Renault KWID RXT,360000,26500,Petrol,Individual,Manual,First Owner,4,Renault
3337,Maruti Vitara Brezza VDi Option,700000,50000,Diesel,Individual,Manual,Second Owner,5,Maruti
3338,Maruti Ertiga VDI,700000,110000,Diesel,Individual,Manual,Second Owner,10,Maruti
3339,Hyundai i20 1.4 Sportz,655000,84000,Diesel,Dealer,Manual,First Owner,5,Hyundai
3340,Maruti Vitara Brezza VDi Option,700000,50000,Diesel,Individual,Manual,Second Owner,5,Maruti
3341,Chevrolet Beat LT LPG,200000,110000,LPG,Individual,Manual,First Owner,11,Chevrolet
3342,Renault Duster 85PS Diesel RxL Optional,375000,150000,Diesel,Individual,Manual,First Owner,10,Renault
3343,Hyundai Verna 1.6 SX,470000,109052,Diesel,Dealer,Manual,First Owner,10,Hyundai
3344,Maruti Ciaz VDi,550000,90658,Diesel,Dealer,Manual,First Owner,7,Maruti
3345,Honda Amaze VX i-DTEC,500000,110000,Diesel,Individual,Manual,Second Owner,8,Honda
3346,Datsun GO T Option BSIV,210000,25000,Petrol,Individual,Manual,First Owner,7,Datsun
3347,Maruti Eeco 7 Seater Standard BSIV,270000,20000,Petrol,Individual,Manual,First Owner,4,Maruti
3348,Skoda Superb 1.8 TFSI MT,300000,80000,Petrol,Individual,Manual,First Owner,12,Skoda
3349,Maruti Wagon R VXI Minor,80000,60000,Petrol,Individual,Manual,Third Owner,15,Maruti
3350,Mercedes-Benz E-Class E250 Edition E,1451000,81000,Diesel,Dealer,Automatic,First Owner,9,Mercedes
3351,Tata Safari Storme VX Varicor 400,1085000,15000,Diesel,Individual,Manual,First Owner,4,Tata
3352,Hyundai Verna SX AT Diesel,245000,75000,Diesel,Dealer,Automatic,First Owner,13,Hyundai
3353,Honda WR-V i-VTEC VX,700000,25552,Petrol,Dealer,Manual,Second Owner,5,Honda
3354,Hyundai EON Magna Plus,300000,20000,Petrol,Individual,Manual,First Owner,4,Hyundai
3355,Hyundai Xcent 1.2 CRDi E,350000,80000,Diesel,Individual,Manual,First Owner,5,Hyundai
3356,Hyundai Elite i20 Asta Option CVT BSIV,635000,25000,Petrol,Dealer,Automatic,First Owner,5,Hyundai
3357,Honda City S,325000,40700,Petrol,Individual,Manual,First Owner,10,Honda
3358,Mahindra XUV500 AT W10 1.99 mHawk,1150000,65500,Diesel,Dealer,Automatic,First Owner,5,Mahindra
3359,Tata Indigo GLE BSIII,110000,42000,Petrol,Dealer,Manual,First Owner,14,Tata
3360,Honda City 1.5 V MT,890000,8000,Petrol,Dealer,Manual,First Owner,4,Honda
3361,Maruti Swift 1.3 LXI,73000,80000,Petrol,Individual,Manual,Second Owner,15,Maruti
3362,Chevrolet Beat PS,170000,77000,Petrol,Individual,Manual,First Owner,8,Chevrolet
3363,Maruti Ciaz ZXi Plus,750000,6000,Petrol,Dealer,Manual,First Owner,6,Maruti
3364,Hyundai EON 1.0 Era Plus,280000,28838,Petrol,Individual,Manual,First Owner,5,Hyundai
3365,Maruti Baleno Alpha 1.2,690000,11174,Petrol,Dealer,Manual,First Owner,4,Maruti
3366,Tata Indigo GLS,130000,120000,Petrol,Individual,Manual,First Owner,14,Tata
3367,Maruti Swift 1.3 LXI,73000,80000,Petrol,Individual,Manual,Second Owner,15,Maruti
3368,Hyundai Santro Xing GLS,85000,85000,Petrol,Individual,Manual,Second Owner,15,Hyundai
3369,Hyundai Elantra 2.0 SX AT,1575000,10000,Petrol,Individual,Automatic,First Owner,4,Hyundai
3370,Nissan Sunny Diesel XV,325000,105000,Diesel,Individual,Manual,First Owner,9,Nissan
3371,Honda City 1.3 EXI,85000,120000,Petrol,Individual,Manual,Second Owner,24,Honda
3372,Hyundai Verna 1.6 CRDI SX Option,860000,30000,Diesel,Dealer,Manual,Second Owner,4,Hyundai
3373,Maruti S-Cross Sigma DDiS 200 SH,690000,41000,Diesel,Individual,Manual,First Owner,5,Maruti
3374,Hyundai Elantra CRDi S,650000,54000,Diesel,Dealer,Manual,First Owner,9,Hyundai
3375,Chevrolet Sail LS ABS,375000,40000,Diesel,Individual,Manual,First Owner,8,Chevrolet
3376,Hyundai Verna 1.6 SX CRDi (O),525000,71000,Diesel,Dealer,Manual,First Owner,9,Hyundai
3377,Maruti Eeco Smiles 5 Seater AC,330000,72500,Petrol,Dealer,Manual,First Owner,6,Maruti
3378,Maruti Eeco Smiles 5 Seater AC,280000,76600,Petrol,Dealer,Manual,First Owner,9,Maruti
3379,Maruti Swift ZXI,470000,40000,Petrol,Individual,Manual,First Owner,8,Maruti
3380,Volkswagen Polo Diesel Trendline 1.2L,350000,110000,Diesel,Individual,Manual,First Owner,11,Volkswagen
3381,Honda City 1.5 V Elegance,480000,63000,Petrol,Dealer,Manual,First Owner,10,Honda
3382,Hyundai Verna 1.6 CRDi SX,620000,60000,Diesel,Individual,Manual,First Owner,6,Hyundai
3383,Datsun GO T BSIV,250000,58000,Petrol,Individual,Manual,First Owner,8,Datsun
3384,Chevrolet Spark 1.0,78692,80000,Petrol,Individual,Manual,Second Owner,12,Chevrolet
3385,Hyundai i20 Magna Optional 1.4 CRDi,350000,80000,Diesel,Individual,Manual,First Owner,10,Hyundai
3386,Maruti Wagon R LX Minor,250000,70000,Petrol,Individual,Manual,Second Owner,9,Maruti
3387,Hyundai i20 1.2 Sportz,260000,97700,Petrol,Individual,Manual,Fourth & Above Owner,11,Hyundai
3388,Honda Mobilio S i DTEC,640000,36000,Diesel,Individual,Manual,Second Owner,6,Honda
3389,Tata New Safari DICOR 2.2 EX 4x2,220000,90000,Diesel,Individual,Manual,Second Owner,14,Tata
3390,Volkswagen Vento 1.5 TDI Highline,465000,130000,Diesel,Individual,Manual,First Owner,7,Volkswagen
3391,Maruti Swift Vdi BSIII,229999,120000,Diesel,Individual,Manual,Second Owner,12,Maruti
3392,Maruti Wagon R VXI BS IV,425000,15000,Petrol,Individual,Manual,First Owner,4,Maruti
3393,Tata Indica GLS BS IV,95000,120000,Petrol,Individual,Manual,Third Owner,14,Tata
3394,Hyundai EON LPG Magna Plus,170000,170000,LPG,Individual,Manual,Third Owner,10,Hyundai
3395,Datsun RediGO T Option,229999,37500,Petrol,Individual,Manual,Second Owner,6,Datsun
3396,Maruti 800 Std,45000,50000,Petrol,Individual,Manual,Third Owner,23,Maruti
3397,Maruti Grand Vitara MT,479000,145000,Petrol,Individual,Manual,Third Owner,15,Maruti
3398,Mahindra KUV 100 mFALCON G80 K8 5str,370000,60000,Petrol,Individual,Manual,First Owner,6,Mahindra
3399,Hyundai EON Sportz,340000,30000,Petrol,Individual,Manual,First Owner,6,Hyundai
3400,Maruti Swift Dzire ZXI,620000,35000,Petrol,Individual,Manual,First Owner,6,Maruti
3401,Tata Manza Club Class Quadrajet90 EX,270000,60000,Diesel,Individual,Manual,First Owner,10,Tata
3402,Tata Tiago 1.05 Revotorq XZ Plus,400000,35000,Diesel,Individual,Manual,First Owner,4,Tata
3403,Maruti Wagon R VXI Optional,260000,40000,Petrol,Individual,Manual,First Owner,7,Maruti
3404,Hyundai Santro LE zipPlus,48000,50000,Petrol,Individual,Manual,Fourth & Above Owner,19,Hyundai
3405,Tata Nano Twist XE,100000,23800,Petrol,Individual,Manual,Second Owner,7,Tata
3406,Nissan Terrano XL Plus 85 PS,490000,70000,Diesel,Individual,Manual,First Owner,7,Nissan
3407,Maruti Wagon R Duo Lxi,120000,90000,LPG,Individual,Manual,Second Owner,12,Maruti
3408,Hyundai i10 Era,125000,102000,Petrol,Individual,Manual,Second Owner,14,Hyundai
3409,Hyundai EON Era Plus,160000,80000,Petrol,Individual,Manual,First Owner,9,Hyundai
3410,Maruti Alto 800 LXI,190000,5000,Petrol,Individual,Manual,First Owner,3,Maruti
3411,Tata Harrier XZ BSIV,1700000,10000,Diesel,Individual,Manual,First Owner,3,Tata
3412,Hyundai i10 Sportz,250000,50000,Petrol,Individual,Manual,First Owner,11,Hyundai
3413,Maruti Ignis 1.2 Delta BSIV,500000,15000,Petrol,Individual,Manual,First Owner,3,Maruti
3414,Toyota Corolla Altis 1.8 J,400000,35000,Petrol,Individual,Manual,Second Owner,14,Toyota
3415,Fiat Linea T Jet Plus,500000,20000,Petrol,Individual,Manual,First Owner,11,Fiat
3416,Toyota Fortuner 4x2 AT,1800000,99000,Diesel,Individual,Automatic,First Owner,8,Toyota
3417,Honda Civic 1.8 V MT,320000,90000,Petrol,Individual,Manual,First Owner,14,Honda
3418,Honda Civic 1.8 S AT,250000,47000,Petrol,Dealer,Automatic,First Owner,15,Honda
3419,Ford Figo Diesel Titanium,105000,90000,Diesel,Individual,Manual,Third Owner,12,Ford
3420,Hyundai i20 Active 1.2 SX,550000,20000,Petrol,Individual,Manual,First Owner,4,Hyundai
3421,Hyundai Grand i10 1.2 Kappa Sportz AT,600000,1100,Petrol,Individual,Automatic,First Owner,3,Hyundai
3422,Maruti Alto 800 VXI,210000,40000,Petrol,Individual,Manual,First Owner,2,Maruti
3423,Maruti Alto 800 LXI Airbag,210000,15000,Petrol,Individual,Manual,First Owner,10,Maruti
3424,Maruti Alto LXi,150000,40000,Petrol,Individual,Manual,First Owner,13,Maruti
3425,Hyundai i10 Era 1.1,125000,60000,Petrol,Individual,Manual,First Owner,14,Hyundai
3426,Maruti Celerio VXI,380000,20000,Petrol,Individual,Manual,First Owner,6,Maruti
3427,Maruti Baleno Delta 1.2,600000,5000,Petrol,Individual,Manual,First Owner,3,Maruti
3428,Maruti Swift VXI Deca,490000,27000,Petrol,Individual,Manual,First Owner,6,Maruti
3429,Maruti Swift Dzire LDI,545000,38000,Diesel,Individual,Manual,Second Owner,4,Maruti
3430,Maruti Wagon R VXI BS IV,250000,25000,Petrol,Individual,Manual,First Owner,7,Maruti
3431,Hyundai Venue SX Opt Turbo BSIV,1050000,1100,Petrol,Individual,Manual,First Owner,2,Hyundai
3432,Maruti Wagon R LX Minor,100000,100000,Petrol,Individual,Manual,First Owner,15,Maruti
3433,Ford Figo Diesel ZXI,250000,100000,Diesel,Individual,Manual,Second Owner,8,Ford
3434,Maruti Wagon R LX BSIII,100000,110000,Petrol,Individual,Manual,First Owner,15,Maruti
3435,Ford Figo 1.5D Ambiente ABS MT,350000,60000,Diesel,Individual,Manual,Second Owner,6,Ford
3436,Renault Duster 110PS Diesel RxZ Plus,370000,70000,Diesel,Individual,Manual,Second Owner,10,Renault
3437,Maruti Zen VXi - BS III,121000,110000,Petrol,Individual,Manual,Second Owner,18,Maruti
3438,Ford Figo Aspire 1.5 Ti-VCT Titanium,570000,44077,Petrol,Dealer,Automatic,First Owner,5,Ford
3439,Maruti Ertiga SHVS VDI,785000,24000,Diesel,Individual,Manual,First Owner,5,Maruti
3440,Maruti Ciaz S 1.3,850000,30000,Diesel,Individual,Manual,First Owner,4,Maruti
3441,Maruti Wagon R VXI BS IV,375000,30000,Petrol,Individual,Manual,Second Owner,6,Maruti
3442,Maruti Baleno Alpha 1.2,619000,40000,Petrol,Individual,Manual,First Owner,5,Maruti
3443,Chevrolet Cruze LTZ,335000,90000,Diesel,Individual,Manual,Second Owner,11,Chevrolet
3444,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,500000,50000,Diesel,Individual,Manual,First Owner,16,Toyota
3445,Maruti Wagon R LX,60000,100000,Petrol,Individual,Manual,Second Owner,19,Maruti
3446,Maruti Zen Estilo VXI BSIV,130000,50000,Petrol,Individual,Manual,Second Owner,12,Maruti
3447,Mahindra Ingenio CRDe,210000,210000,Diesel,Individual,Manual,First Owner,7,Mahindra
3448,Toyota Innova Crysta 2.4 VX MT 8S BSIV,1900000,20000,Diesel,Individual,Manual,First Owner,3,Toyota
3449,Tata Indigo TDI,270000,70000,Diesel,Individual,Manual,Second Owner,9,Tata
3450,Maruti Wagon R LXI Minor,225000,100000,Petrol,Individual,Manual,Second Owner,12,Maruti
3451,Maruti SX4 ZXI MT BSIV,150000,160000,Petrol,Individual,Manual,Second Owner,11,Maruti
3452,Chevrolet Beat Diesel LT,173000,70000,Diesel,Individual,Manual,First Owner,9,Chevrolet
3453,BMW 5 Series 520d Luxury Line,4800000,9422,Diesel,Individual,Automatic,First Owner,4,BMW
3454,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,710000,110000,Diesel,Individual,Automatic,First Owner,5,Volkswagen
3455,Toyota Corolla Altis 1.8 GL,1500000,20000,Petrol,Individual,Manual,First Owner,3,Toyota
3456,Maruti Baleno Zeta 1.2,550000,20000,Petrol,Individual,Manual,First Owner,5,Maruti
3457,Maruti 800 AC BSIII,58000,70000,Petrol,Individual,Manual,Second Owner,14,Maruti
3458,Audi A4 1.8 TFSI,1200000,60000,Petrol,Individual,Automatic,Third Owner,10,Audi
3459,Mahindra Scorpio M2DI,500000,150000,Diesel,Individual,Manual,First Owner,9,Mahindra
3460,Maruti Swift LXi BSIV,120000,83000,Petrol,Individual,Manual,Second Owner,13,Maruti
3461,Toyota Innova 2.5 EV Diesel PS 7 Seater BSIII,300000,250000,Diesel,Individual,Manual,First Owner,10,Toyota
3462,Hyundai EON Era Plus,300000,30000,Petrol,Individual,Manual,First Owner,4,Hyundai
3463,Datsun GO Plus T Option BSIV,295000,21000,Petrol,Individual,Manual,First Owner,7,Datsun
3464,Maruti Ertiga VXI CNG,587000,80000,CNG,Individual,Manual,First Owner,4,Maruti
3465,Ambassador Grand 1800 ISZ MPFI PW CL,430000,50000,Petrol,Individual,Manual,Second Owner,10,Ambassador
3466,Hyundai Verna i (Petrol),123000,50000,Petrol,Individual,Manual,Second Owner,15,Hyundai
3467,Skoda Laura Ambiente 2.0 TDI CR AT,450000,48500,Diesel,Individual,Automatic,Second Owner,10,Skoda
3468,Maruti Wagon R LXI Minor,130000,60000,Petrol,Individual,Manual,Third Owner,15,Maruti
3469,Tata Indica Vista Aqua 1.4 TDI,110000,90000,Diesel,Individual,Manual,Second Owner,12,Tata
3470,Mahindra Xylo Celebration Edition BSIV,200000,240000,Diesel,Individual,Manual,Third Owner,12,Mahindra
3471,Hyundai Grand i10 Magna,320000,70000,Petrol,Individual,Manual,Second Owner,7,Hyundai
3472,Maruti Wagon R LXI BS IV,300000,50000,Petrol,Individual,Manual,First Owner,8,Maruti
3473,Volkswagen CrossPolo 1.2 MPI,350000,110000,Petrol,Individual,Manual,First Owner,6,Volkswagen
3474,Maruti Ertiga VXI Petrol,800000,50000,Petrol,Individual,Manual,First Owner,4,Maruti
3475,Hyundai Xcent 1.1 CRDi S,270000,175000,Diesel,Individual,Manual,First Owner,6,Hyundai
3476,Hyundai i20 1.2 Magna Executive,540000,60000,Petrol,Individual,Manual,First Owner,5,Hyundai
3477,Maruti Wagon R LXI CNG,160000,60000,CNG,Individual,Manual,Second Owner,11,Maruti
3478,Maruti SX4 VDI,340000,100000,Diesel,Individual,Manual,Second Owner,9,Maruti
3479,Maruti Eeco 5 Seater AC BSIV,350000,40000,Petrol,Individual,Manual,Second Owner,5,Maruti
3480,Volkswagen Vento Diesel Style Limited Edition,300000,100000,Diesel,Individual,Manual,First Owner,11,Volkswagen
3481,Maruti Ritz VDi,330000,63000,Diesel,Individual,Manual,First Owner,9,Maruti
3482,Maruti Wagon R LXI CNG,325000,80000,CNG,Individual,Manual,Second Owner,6,Maruti
3483,Maruti Swift Dzire VDI,250000,55000,Diesel,Individual,Manual,First Owner,9,Maruti
3484,Maruti Swift Star VDI,250000,55000,Diesel,Individual,Manual,First Owner,9,Maruti
3485,Chevrolet Beat LT Option,240000,60000,Petrol,Individual,Manual,First Owner,7,Chevrolet
3486,Hyundai Grand i10 1.2 Kappa Magna BSIV,545000,5000,Petrol,Individual,Manual,First Owner,2,Hyundai
3487,Hyundai i10 Magna 1.1 iTech SE,300000,48000,Petrol,Dealer,Manual,First Owner,7,Hyundai
3488,Chevrolet Beat LT,130000,80000,Petrol,Individual,Manual,Second Owner,12,Chevrolet
3489,Renault KWID RXT,240000,50000,Petrol,Individual,Manual,First Owner,5,Renault
3490,Renault KWID 1.0 RXT Optional,360000,15000,Petrol,Individual,Manual,First Owner,4,Renault
3491,Hyundai i20 1.4 CRDi Magna,250000,70000,Diesel,Individual,Manual,First Owner,10,Hyundai
3492,Skoda Laura Elegance 2.0 TDI CR AT,475000,105000,Diesel,Dealer,Automatic,First Owner,3,Skoda
3493,Hyundai i20 Asta Option 1.4 CRDi,600000,50000,Diesel,Individual,Manual,Second Owner,6,Hyundai
3494,Tata Indigo CR4,150000,80000,Diesel,Individual,Manual,Second Owner,12,Tata
3495,Ford EcoSport 1.5 Diesel Trend BSIV,700000,50000,Diesel,Individual,Manual,First Owner,5,Ford
3496,Mahindra XUV500 W6 2WD,1290000,5000,Diesel,Individual,Manual,First Owner,6,Mahindra
3497,Hyundai Santro Xing XG,80000,58000,Petrol,Individual,Manual,First Owner,18,Hyundai
3498,Hyundai Grand i10 Sportz,425000,12000,Petrol,Individual,Manual,First Owner,7,Hyundai
3499,Maruti Celerio ZXI AMT BSIV,500000,10000,Petrol,Individual,Automatic,First Owner,4,Maruti
3500,Hyundai Santro Xing GLS,193000,45000,Petrol,Individual,Manual,Second Owner,10,Hyundai
3501,Honda City i VTEC V,800000,10000,Petrol,Individual,Manual,First Owner,7,Honda
3502,Maruti Wagon R LXI Minor,150000,50000,Petrol,Individual,Manual,First Owner,14,Maruti
3503,Maruti 800 AC,80000,40000,Petrol,Individual,Manual,Fourth & Above Owner,20,Maruti
3504,Ford Figo Diesel EXI,130000,100000,Diesel,Individual,Manual,Third Owner,12,Ford
3505,Ford Figo Diesel EXI,280000,80000,Diesel,Individual,Manual,Second Owner,10,Ford
3506,Mahindra Xylo D2 BS IV,229999,110000,Diesel,Individual,Manual,Second Owner,11,Mahindra
3507,Maruti Zen Estilo VXI BSIII,80000,120000,Petrol,Individual,Manual,First Owner,14,Maruti
3508,Tata Nano Cx BSIII,70000,10000,Petrol,Individual,Manual,First Owner,12,Tata
3509,Maruti Ritz VDi,240000,60000,Diesel,Individual,Manual,Second Owner,9,Maruti
3510,Mahindra Xylo E8,380000,72000,Diesel,Individual,Manual,Second Owner,12,Mahindra
3511,Maruti Ritz VDi,240000,60000,Diesel,Individual,Manual,Second Owner,9,Maruti
3512,Hyundai Santro Xing XO,80000,110000,Petrol,Individual,Manual,First Owner,16,Hyundai
3513,Hyundai i10 Era,265000,50000,Petrol,Individual,Manual,First Owner,9,Hyundai
3514,Hyundai EON Magna Plus Option,320000,25000,Petrol,Individual,Manual,First Owner,4,Hyundai
3515,Nissan Terrano XL 110 PS,500000,120000,Diesel,Individual,Manual,Third Owner,8,Nissan
3516,Hyundai Creta 1.6 CRDi SX Option,1300000,55000,Diesel,Individual,Manual,First Owner,6,Hyundai
3517,Mahindra Scorpio S11 BSIV,1500000,35000,Diesel,Individual,Manual,First Owner,4,Mahindra
3518,Toyota Innova Crysta 2.8 ZX AT BSIV,1800000,110000,Diesel,Individual,Automatic,First Owner,6,Toyota
3519,Mahindra XUV500 W6 2WD,600000,80000,Diesel,Individual,Manual,Second Owner,8,Mahindra
3520,Tata Tiago 1.2 Revotron XT,420000,80000,Petrol,Individual,Manual,First Owner,4,Tata
3521,Maruti Zen Estilo LXI BS IV,140000,120000,Petrol,Individual,Manual,First Owner,13,Maruti
3522,Skoda Laura Ambiente 2.0 TDI CR MT,300000,100000,Diesel,Individual,Manual,Second Owner,12,Skoda
3523,Hyundai Santro Xing XL eRLX Euro III,100000,60000,Petrol,Dealer,Manual,Second Owner,16,Hyundai
3524,Maruti Alto K10 VXI,350000,25000,Petrol,Dealer,Manual,First Owner,5,Maruti
3525,Ford EcoSport 1.5 Ti VCT MT Titanium BE BSIV,850000,19000,Petrol,Dealer,Manual,First Owner,4,Ford
3526,Maruti Alto LX,140000,54000,Petrol,Dealer,Manual,First Owner,14,Maruti
3527,Ford Aspire Titanium Plus BSIV,550000,17100,Petrol,Dealer,Manual,Second Owner,7,Ford
3528,Hyundai Grand i10 Asta Option AT,525000,19000,Petrol,Dealer,Automatic,First Owner,5,Hyundai
3529,Ford Ecosport 1.5 DV5 MT Titanium,470000,146000,Diesel,Dealer,Manual,First Owner,7,Ford
3530,Ford Endeavour 3.0L 4X4 AT,900000,98000,Diesel,Dealer,Automatic,First Owner,9,Ford
3531,Ford Endeavour 2.5L 4X2,500000,224642,Diesel,Dealer,Manual,Second Owner,11,Ford
3532,Maruti Zen LXI,80000,120000,Petrol,Individual,Manual,Second Owner,24,Maruti
3533,Mahindra Verito 1.5 D2 BSIII,175000,175000,Diesel,Individual,Manual,First Owner,11,Mahindra
3534,Mahindra XUV500 AT W10 AWD,1350000,15000,Diesel,Individual,Automatic,Second Owner,5,Mahindra
3535,Renault Duster 110PS Diesel RxZ,800000,50000,Diesel,Individual,Manual,First Owner,5,Renault
3536,Datsun RediGO 1.0 S,250000,15000,Petrol,Individual,Manual,First Owner,5,Datsun
3537,Maruti Ignis 1.2 AMT Alpha BSIV,700000,25000,Petrol,Individual,Automatic,First Owner,4,Maruti
3538,Tata Nexon 1.5 Revotorq XM,800000,25000,Diesel,Individual,Manual,First Owner,3,Tata
3539,Mahindra XUV500 W6 2WD,660000,69000,Diesel,Individual,Manual,First Owner,9,Mahindra
3540,Maruti Swift VDI BSIV,465000,60000,Diesel,Individual,Manual,Third Owner,7,Maruti
3541,Mahindra Scorpio 2.6 CRDe,180000,222435,Diesel,Individual,Manual,Second Owner,16,Mahindra
3542,Maruti Swift Dzire VDI,600000,66000,Diesel,Individual,Manual,Third Owner,5,Maruti
3543,Ford Fiesta 1.4 ZXi Duratec,150000,110000,Petrol,Individual,Manual,First Owner,12,Ford
3544,Hyundai Verna 1.6 SX,450000,78000,Diesel,Individual,Manual,Second Owner,8,Hyundai
3545,Hyundai Elite i20 Sportz Plus BSIV,721000,10000,Petrol,Individual,Manual,First Owner,3,Hyundai
3546,Maruti Swift 1.2 DLX,300000,35000,Petrol,Individual,Manual,First Owner,4,Maruti
3547,Mahindra Scorpio BSIV,1000000,10000,Diesel,Individual,Manual,First Owner,3,Mahindra
3548,Renault KWID RXT,300000,40000,Petrol,Individual,Manual,First Owner,6,Renault
3549,Mahindra Scorpio LX,450000,120000,Diesel,Individual,Manual,First Owner,9,Mahindra
3550,Maruti Esteem AX,79000,70000,Petrol,Individual,Automatic,First Owner,25,Maruti
3551,Ford Figo 1.5D Trend MT,545000,40000,Diesel,Individual,Manual,First Owner,5,Ford
3552,Honda Amaze V Diesel BSIV,844999,20000,Diesel,Individual,Manual,First Owner,4,Honda
3553,Skoda Rapid 1.5 TDI Ambition,700000,93000,Diesel,Individual,Manual,First Owner,6,Skoda
3554,Toyota Etios VD,650000,159000,Diesel,Individual,Manual,First Owner,6,Toyota
3555,Ford Ecosport 1.5 DV5 MT Titanium,525000,75000,Diesel,Individual,Manual,Second Owner,8,Ford
3556,Ford Fiesta Classic 1.4 SXI Duratorq,110000,101100,Diesel,Individual,Manual,Third Owner,16,Ford
3557,Tata Indica Vista Aqua 1.3 Quadrajet BSIV,180000,66000,Diesel,Individual,Manual,First Owner,11,Tata
3558,Hyundai i10 Era,280000,30000,Petrol,Individual,Manual,Second Owner,10,Hyundai
3559,Renault KWID 1.0 RXT Optional,400000,10000,Petrol,Individual,Manual,First Owner,3,Renault
3560,Mahindra XUV500 W8 4WD,625000,126000,Diesel,Individual,Manual,Second Owner,10,Mahindra
3561,Volkswagen Vento 1.5 TDI Highline,535000,70000,Diesel,Individual,Manual,First Owner,7,Volkswagen
3562,Maruti Swift VDI Optional,459999,50000,Diesel,Individual,Manual,First Owner,5,Maruti
3563,Mahindra Bolero DI,300000,100000,Diesel,Individual,Manual,First Owner,12,Mahindra
3564,Honda Civic 1.8 V AT,280000,60000,Petrol,Individual,Automatic,First Owner,15,Honda
3565,Honda Mobilio V i VTEC,500000,70000,Petrol,Individual,Manual,First Owner,8,Honda
3566,Hyundai Creta 1.6 SX,1200000,1200,Petrol,Individual,Manual,First Owner,3,Hyundai
3567,Renault KWID RXT,300000,40000,Petrol,Individual,Manual,First Owner,6,Renault
3568,Tata Manza ELAN Quadrajet BS IV,180000,80000,Diesel,Individual,Manual,Third Owner,11,Tata
3569,Hyundai i10 Sportz AT,180000,134444,Petrol,Individual,Automatic,Second Owner,11,Hyundai
3570,Maruti Alto LXi,78000,120000,Petrol,Individual,Manual,Second Owner,13,Maruti
3571,Nissan Micra Diesel XV Premium,160000,120000,Diesel,Individual,Manual,First Owner,11,Nissan
3572,Mahindra Scorpio VLX 2WD AIRBAG BSIV,600000,238000,Diesel,Individual,Manual,First Owner,8,Mahindra
3573,Maruti Wagon R LXI Minor,110000,100000,Petrol,Individual,Manual,Second Owner,14,Maruti
3574,Mahindra Bolero SLX 4WD BSIII,450000,110000,Diesel,Individual,Manual,Second Owner,11,Mahindra
3575,Mahindra Scorpio S9 BSIV,1350000,35000,Diesel,Individual,Manual,First Owner,3,Mahindra
3576,Honda City 1.3 DX,120000,165000,Petrol,Individual,Manual,Second Owner,19,Honda
3577,Honda BR-V i-DTEC VX MT,1040000,42000,Diesel,Individual,Manual,First Owner,4,Honda
3578,Hyundai Grand i10 CRDi Sportz,390000,70000,Diesel,Individual,Manual,Second Owner,8,Hyundai
3579,Tata Nano Lx BSIII,65000,60000,Petrol,Individual,Manual,Second Owner,11,Tata
3580,Volkswagen Polo Diesel Highline 1.2L,320000,115000,Diesel,Individual,Manual,Third Owner,9,Volkswagen
3581,Volkswagen Ameo 1.5 TDI Highline,720000,70000,Diesel,Individual,Manual,First Owner,5,Volkswagen
3582,Maruti Swift ZXI ABS,220000,80000,Petrol,Individual,Manual,Second Owner,15,Maruti
3583,Maruti Wagon R LXI BS IV,225000,65000,Petrol,Dealer,Manual,First Owner,11,Maruti
3584,Tata Manza Aura (ABS) Quadrajet BS IV,200000,150000,Diesel,Individual,Manual,Second Owner,12,Tata
3585,Toyota Etios GD,434999,75000,Diesel,Dealer,Manual,Second Owner,7,Toyota
3586,Ford Figo Diesel Titanium,300000,63700,Diesel,Individual,Manual,First Owner,10,Ford
3587,Honda Amaze VX i-DTEC,700000,74800,Diesel,Individual,Manual,First Owner,4,Honda
3588,Ford Endeavour 2.5L 4X2 MT,500000,105000,Diesel,Individual,Manual,Second Owner,13,Ford
3589,Renault Duster 85PS Diesel RxE,500000,40000,Diesel,Individual,Manual,First Owner,6,Renault
3590,Maruti Ritz LDi,400000,90000,Diesel,Individual,Manual,Second Owner,6,Maruti
3591,Toyota Corolla Altis D-4D J,825000,75000,Diesel,Dealer,Manual,Second Owner,7,Toyota
3592,Maruti Swift Dzire VDI,720000,15000,Diesel,Individual,Manual,First Owner,4,Maruti
3593,Maruti 800 AC Uniq,110000,30000,Petrol,Individual,Manual,Second Owner,13,Maruti
